timestamp;vehicle_gps_position.lat;vehicle_gps_position.lon;vehicle_gps_position.alt;vehicle_gps_position.eph;vehicle_gps_position.epv;vehicle_gps_position.hdop;vehicle_gps_position.vdop;vehicle_gps_position.noise_per_ms;vehicle_gps_position.satellites_used;vehicle_air_data.baro_alt_meter;vehicle_local_position.dist_bottom;vehicle_local_position.z
264379514;473064812;388901510;83024;1.014;1.2140001;0.69;0.84999996;99;18;115.36368;3.1125214;-0.6083744
264479473;473064812;388901510;83024;1.014;1.2140001;0.69;0.84999996;99;18;115.36368;3.118597;-0.6144501
264579494;473064812;388901510;83024;1.014;1.2140001;0.69;0.84999996;99;18;115.427086;3.1224868;-0.6183398
264679336;473064861;388901506;82994;1.0170001;1.2140001;0.69;0.84999996;99;18;115.427086;3.1223073;-0.61816037
264779396;473064861;388901506;82994;1.0170001;1.2140001;0.69;0.84999996;99;18;115.532776;3.1192658;-0.6151187
264879494;473064861;388901506;82994;1.0170001;1.2140001;0.69;0.84999996;99;18;115.532776;3.1138268;-0.60967964
264979309;473064861;388901506;82994;1.0170001;1.2140001;0.69;0.84999996;99;18;115.38481;3.1084325;-0.6042855
265079384;473064861;388901506;82994;1.0170001;1.2140001;0.69;0.84999996;99;18;115.38481;3.1014194;-0.5972725
265179584;473064896;388901507;82948;1.018;1.215;0.69;0.84999996;99;18;115.44558;3.09439;-0.5902429
265279392;473064896;388901507;82948;1.018;1.215;0.69;0.84999996;99;18;115.44558;3.0847635;-0.58061635
265379236;473064896;388901507;82948;1.018;1.215;0.69;0.84999996;99;18;115.27912;3.0736284;-0.5694814
265479495;473064896;388901507;82948;1.018;1.215;0.69;0.84999996;99;18;115.27912;3.061875;-0.5577281
265579419;473064896;388901507;82948;1.018;1.215;0.69;0.84999996;99;18;115.530136;3.0489469;-0.5447997
265679209;473064949;388901509;82845;1.021;1.2160001;0.69;0.84999996;99;18;115.530136;3.0365593;-0.53241223
265779197;473064949;388901509;82845;1.021;1.2160001;0.69;0.84999996;99;18;115.405945;3.025065;-0.52091783
265879403;473064949;388901509;82845;1.021;1.2160001;0.69;0.84999996;99;18;115.405945;3.0134099;-0.5092628
265979248;473064949;388901509;82845;1.021;1.2160001;0.69;0.84999996;99;18;115.25798;3.0024214;-0.49827436
266079167;473064949;388901509;82845;1.021;1.2160001;0.69;0.84999996;99;18;115.25798;2.991275;-0.48712796
266179253;473064984;388901512;82760;1.023;1.217;0.69;0.84999996;99;18;115.25798;2.9804835;-0.47633645
266279111;473064984;388901512;82760;1.023;1.217;0.69;0.84999996;99;18;115.25798;2.9698782;-0.46573108
266379095;473064984;388901512;82760;1.023;1.217;0.69;0.84999996;99;18;115.13115;2.9587662;-0.45461908
266479223;473064984;388901512;82760;1.023;1.217;0.69;0.84999996;99;18;115.13115;2.948909;-0.444762
266579200;473064984;388901512;82760;1.023;1.217;0.69;0.84999996;99;18;115.36368;2.9402754;-0.4361284
266679168;473065041;388901516;82714;1.0250001;1.218;0.69;0.84999996;99;18;115.36368;2.9347606;-0.43061364
266779201;473065041;388901516;82714;1.0250001;1.218;0.69;0.84999996;99;18;115.300255;2.9326062;-0.4284592
266879203;473065041;388901516;82714;1.0250001;1.218;0.69;0.84999996;99;18;115.300255;2.9328394;-0.42869246
266979047;473065041;388901516;82714;1.0250001;1.218;0.69;0.84999996;99;18;115.15229;2.9323847;-0.4282377
267079088;473065041;388901516;82714;1.0250001;1.218;0.69;0.84999996;99;18;115.15229;2.9327774;-0.42863047
267179105;473065082;388901517;82748;1.0270001;1.2190001;0.69;0.84999996;99;18;115.34254;2.9345522;-0.43040523
267278961;473065082;388901517;82748;1.0270001;1.2190001;0.69;0.84999996;99;18;115.34254;2.9374354;-0.43328837
267379017;473065082;388901517;82748;1.0270001;1.2190001;0.69;0.84999996;99;18;115.02546;2.9436483;-0.43950126
267479104;473065082;388901517;82748;1.0270001;1.2190001;0.69;0.84999996;99;18;115.02546;2.9502563;-0.44610935
267578937;473065082;388901517;82748;1.0270001;1.2190001;0.69;0.84999996;99;18;115.2157;2.9563832;-0.4522361
267678956;473065137;388901519;82835;1.029;1.2190001;0.69;0.84999996;99;18;115.2157;2.9637663;-0.45961937
267779084;473065137;388901519;82835;1.029;1.2190001;0.69;0.84999996;99;18;115.36368;2.9744725;-0.47032547
267878983;473065137;388901519;82835;1.029;1.2190001;0.69;0.84999996;99;18;115.36368;2.984015;-0.47986785
267978886;473065137;388901519;82835;1.029;1.2190001;0.69;0.84999996;99;18;115.300255;2.991263;-0.48711598
268079122;473065137;388901519;82835;1.029;1.2190001;0.69;0.84999996;99;18;115.300255;2.9966238;-0.49247676
268179058;473065174;388901515;82875;1.0300001;1.2190001;0.69;0.84999996;99;18;115.2157;3.0015903;-0.49744314
268278821;473065174;388901515;82875;1.0300001;1.2190001;0.69;0.84999996;99;18;115.2157;3.005635;-0.50148803
268379072;473065174;388901515;82875;1.0300001;1.2190001;0.69;0.84999996;99;18;115.25798;3.0116453;-0.50749826
268479006;473065174;388901515;82875;1.0300001;1.2190001;0.69;0.84999996;99;18;115.25798;3.017127;-0.5129799
268578762;473065174;388901515;82875;1.0300001;1.2190001;0.69;0.84999996;99;18;115.4905;3.0221314;-0.5179845
268678797;473065226;388901503;82901;1.0320001;1.22;0.69;0.84999996;99;18;115.4905;3.0261567;-0.52200955
268778861;473065226;388901503;82901;1.0320001;1.22;0.69;0.84999996;99;18;115.194565;3.0302396;-0.5260924
268878780;473065226;388901503;82901;1.0320001;1.22;0.69;0.84999996;99;18;115.194565;3.0332031;-0.529056
268978769;473065226;388901503;82901;1.0320001;1.22;0.69;0.84999996;99;18;115.17342;3.0370696;-0.53292257
269078887;473065226;388901503;82901;1.0320001;1.22;0.69;0.84999996;99;18;115.17342;3.0383477;-0.5342007
269178639;473065260;388901494;82880;1.034;1.22;0.69;0.84999996;99;18;115.300255;3.0400958;-0.5359488
269278644;473065260;388901494;82880;1.034;1.22;0.69;0.84999996;99;18;115.300255;3.0421348;-0.5379878
269378824;473065260;388901494;82880;1.034;1.22;0.69;0.84999996;99;18;115.34254;3.0443425;-0.5401956
269478838;473065260;388901494;82880;1.034;1.22;0.69;0.84999996;99;18;115.34254;3.0474555;-0.5433085
269578619;473065260;388901494;82880;1.034;1.22;0.69;0.84999996;99;18;115.300255;3.0510998;-0.5469527
269678922;473065311;388901483;82883;1.036;1.22;0.69;0.84999996;99;18;115.300255;3.0530777;-0.5489306
269778785;473065311;388901483;82883;1.036;1.22;0.69;0.84999996;99;18;115.38481;3.0532293;-0.5490822
269878537;473065311;388901483;82883;1.036;1.22;0.69;0.84999996;99;18;115.38481;3.0511644;-0.5470174
269978765;473065311;388901483;82883;1.036;1.22;0.69;0.84999996;99;18;115.34254;3.0499148;-0.54576784
270078726;473065311;388901483;82883;1.036;1.22;0.69;0.84999996;99;18;115.34254;3.049125;-0.54497796
270178461;473065342;388901476;82860;1.039;1.2210001;0.69;0.84999996;99;18;115.2157;3.0462654;-0.5421184
270278474;473065342;388901476;82860;1.039;1.2210001;0.69;0.84999996;99;18;115.2157;3.0416532;-0.537506
270378737;473065342;388901476;82860;1.039;1.2210001;0.69;0.84999996;99;18;115.51164;3.0373938;-0.5332468
270478595;473065342;388901476;82860;1.039;1.2210001;0.69;0.84999996;99;18;115.51164;3.03295;-0.5288028
270578410;473065342;388901476;82860;1.039;1.2210001;0.69;0.84999996;99;18;115.08887;3.0322268;-0.52807975
270678570;473065386;388901475;82842;1.0430001;1.222;0.69;0.84999996;99;18;115.08887;3.0325212;-0.52837414
270778659;473065386;388901475;82842;1.0430001;1.222;0.69;0.84999996;99;18;115.27912;3.0311923;-0.5270453
270878356;473065386;388901475;82842;1.0430001;1.222;0.69;0.84999996;99;18;115.27912;3.027973;-0.52382594
270978534;473065386;388901475;82842;1.0430001;1.222;0.69;0.84999996;99;18;115.4905;3.025432;-0.52128506
271078599;473065386;388901475;82842;1.0430001;1.222;0.69;0.84999996;99;18;115.4905;3.0235105;-0.5193634
271178460;473065414;388901476;82851;1.046;1.223;0.69;0.84999996;99;18;114.98318;3.0231571;-0.5190102
